ItemNumber,Xpos,Ypos,image,Species,Annotator
560,16199.5 px,35124.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
561,17692.5 px,33125.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
562,11053.5 px,27037.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
563,10792.5 px,27214.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
564,11731.5 px,28319.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
565,10868.5 px,28020.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
566,10521.5 px,29297.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
567,8658.5 px,28482.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
568,7524.5 px,29807.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
569,5795.5 px,29591.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
570,4066.5 px,29838.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
571,3005.5 px,29814.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
572,3049.5 px,29293.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
573,3991.5 px,28396.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
574,4744.5 px,27879.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
575,4446.5 px,25711.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
576,12580.5 px,51598.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
577,12827.5 px,51329.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
578,14089.5 px,53208.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
579,12048.5 px,60084.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
580,12269.5 px,59764.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
581,19823.5 px,18881.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
582,18342.5 px,18746.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
583,18429.5 px,38868.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
584,16992.5 px,22860.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
585,17151.5 px,30471.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
586,16861.5 px,33943.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
587,17188.5 px,40618.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
588,17564.5 px,49913.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
589,16023.5 px,17820.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
590,15970.5 px,33096.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
591,14397.5 px,11126.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
592,15505.5 px,13422.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
593,15138.5 px,20462.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
594,15316.5 px,29176.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
595,14780.5 px,37271.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
596,13906.5 px,20647.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
597,13296.5 px,21881.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
598,13466.5 px,22222.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
599,13795.5 px,21844.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
600,13119.5 px,22548.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
601,13227.5 px,26991.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
602,13371.5 px,33600.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
603,13495.5 px,49874.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
604,13796.5 px,51515.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
605,12816.5 px,10206.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
606,12851.5 px,13184.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
607,12937.5 px,14489.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
608,12706.5 px,15488.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
609,12794.5 px,16419.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
610,12683.5 px,26196.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
611,12203.5 px,28257.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
612,12631.5 px,29610.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
613,12329.5 px,33905.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
614,12017.5 px,40345.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
615,12492.5 px,48856.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
616,12840.5 px,49609.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
617,12902.5 px,49416.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
618,11878.5 px,49859.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
619,10557.5 px,3961.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
620,10651.5 px,4764.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
621,11559.5 px,6031.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
622,10683.5 px,6872.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
623,10624.5 px,6545.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
624,11505.5 px,12480.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
625,11334.5 px,12947.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
626,10842.5 px,12800.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
627,11368.5 px,15500.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
628,11109.5 px,15683.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
629,10875.5 px,20308.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
630,11558.5 px,19915.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
631,11599.5 px,20580.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
632,11207.5 px,22977.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
633,10472.5 px,23424.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
634,10546.5 px,23609.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
635,10733.5 px,23959.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
636,10616.5 px,26922.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
637,11075.5 px,33387.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
638,10770.5 px,36034.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
639,11019.5 px,37710.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
640,11212.5 px,37592.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
641,11524.5 px,37554.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
642,11539.5 px,38400.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
643,10813.5 px,42365.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
644,11121.5 px,49725.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
645,11008.5 px,56827.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
646,11132.5 px,57549.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
647,10475.5 px,58157.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
648,10432.5 px,4640.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
649,9595.5 px,9975.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
650,10261.5 px,12174.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
651,9890.5 px,13531.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
652,9226.5 px,15651.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
653,9783.5 px,20437.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
654,10042.5 px,24268.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
655,10413.5 px,35791.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
656,9250.5 px,59086.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
657,9058.5 px,2010.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
658,8870.5 px,5829.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
659,8956.5 px,14251.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
660,7949.5 px,18058.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
661,8184.5 px,21862.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
662,7933.5 px,25009.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
663,8226.5 px,25170.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
664,8162.5 px,27557.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
665,8634.5 px,27762.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
666,8713.5 px,27838.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
667,8836.5 px,33621.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
668,8166.5 px,41084.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
669,9082.5 px,59257.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
670,7288.5 px,16299.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
671,7688.5 px,18093.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
672,7807.5 px,17867.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
673,7377.5 px,17712.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
674,7791.5 px,18411.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
675,7253.5 px,19633.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
676,6920.5 px,20269.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
677,4369.5 px,13630.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
678,4128.5 px,21344.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
679,5334.5 px,21811.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
680,5172.5 px,21925.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
681,4483.5 px,25378.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
682,5355.5 px,31988.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
683,5413.5 px,32206.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
684,4776.5 px,32329.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
685,3671.5 px,31534.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
686,3774.5 px,32940.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
687,3026.5 px,26344.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
688,3379.5 px,25099.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
689,2322.5 px,27516.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
690,10963.5 px,4020.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
691,12508.5 px,4325.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
692,7261.5 px,11094.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
693,14790.5 px,57246.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
694,11903.5 px,57075.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
695,8462.5 px,12747.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
696,8639.5 px,12654.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
697,12233.5 px,21023.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
698,9525.5 px,55119.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
699,8923.5 px,38351.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
700,9060.5 px,27392.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
701,9740.5 px,27191.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
702,9435.5 px,21383.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
703,9572.5 px,20602.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
704,20259.5 px,41114.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
705,18985.5 px,43427.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
706,17870.5 px,33463.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
707,16693.5 px,36324.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
708,15755.5 px,57682.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
709,14650.5 px,36251.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
710,13456.5 px,15137.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
711,13419.5 px,16247.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
712,12681.5 px,18091.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
713,12374.5 px,26627.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
714,12409.5 px,30533.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
715,10932.5 px,7054.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
716,11232.5 px,11638.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
717,11683.5 px,27596.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
718,9411.5 px,4878.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
719,10305.5 px,23374.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
720,7969.5 px,24670.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
721,7343.5 px,19176.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
722,3873.5 px,31349.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Roseate Spoonbill,HC
723,10079.5 px,27214.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Roseate Spoonbill,HC
724,13018.5 px,37955.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Small Dark Heron,HC
725,13385.5 px,35313.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Small Dark Heron,HC
726,17004.5 px,28457.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Small Dark Heron,HC
727,16809.5 px,28243.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Small Dark Heron,HC
728,16148.5 px,28112.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Small Dark Heron,HC
729,16402.5 px,28208.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Small Dark Heron,HC
730,16041.5 px,28014.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Small Dark Heron,HC
731,18421.5 px,24836.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Small Dark Heron,HC
732,12584.5 px,7714.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Small Dark Heron,HC
733,12524.5 px,10239.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Small Dark Heron,HC
734,11901.5 px,10843.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Small Dark Heron,HC
735,16418.5 px,14281.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Small Dark Heron,HC
736,14081.5 px,11593.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Small Dark Heron,HC
737,14114.5 px,11233.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Small Dark Heron,HC
738,11666.5 px,42598.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Small Dark Heron,HC
739,15648.5 px,32256.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Small Dark Heron,HC
740,15301.5 px,12294.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Small Dark Heron,HC
741,15474.5 px,12133.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Small Dark Heron,HC
742,15050.5 px,12772.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Small Dark Heron,HC
743,15008.5 px,20613.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Small Dark Heron,HC
744,13514.5 px,6619.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Small Dark Heron,HC
745,13288.5 px,8774.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Small Dark Heron,HC
746,13062.5 px,28413.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Small Dark Heron,HC
747,10755.5 px,34240.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Small Dark Heron,HC
748,11031.5 px,35117.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Small Dark Heron,HC
749,11529.5 px,36294.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Small Dark Heron,HC
750,10275.5 px,16257.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Small Dark Heron,HC
751,10352.5 px,16298.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Small Dark Heron,HC
752,9536.5 px,17181.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Small Dark Heron,HC
753,8370.5 px,44381.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Small Dark Heron,HC
754,8135.5 px,44452.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Small Dark Heron,HC
755,14740.5 px,20197.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
756,14572.5 px,20144.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
757,14395.5 px,20074.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
758,14512.5 px,19741.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
759,14536.5 px,19862.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
760,14806.5 px,19221.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
761,12143.5 px,5018.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
762,12373.5 px,4848.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
763,12558.5 px,5168.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
764,11973.5 px,6566.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
765,12435.5 px,12518.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
766,12580.5 px,12516.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
767,12295.5 px,13442.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
768,12356.5 px,17403.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
769,12399.5 px,17532.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
770,12650.5 px,17512.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
771,12516.5 px,17736.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
772,6743.5 px,33285.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
773,6358.5 px,32032.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
774,6336.5 px,32285.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
775,5861.5 px,31858.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
776,5696.5 px,30978.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
777,7549.5 px,20138.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
778,8623.5 px,19985.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
779,8609.5 px,19918.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
780,8623.5 px,19823.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
781,7816.5 px,19563.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
782,7907.5 px,19416.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
783,8216.5 px,19419.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
784,6948.5 px,19119.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
785,6868.5 px,18940.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
786,17278.5 px,14542.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
787,17078.5 px,14696.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
788,13053.5 px,9639.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
789,13242.5 px,9757.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
790,13332.5 px,9775.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
791,6877.5 px,14288.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
792,7089.5 px,14348.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
793,9187.5 px,13783.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
794,11247.5 px,13314.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
795,11885.5 px,13864.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
796,13643.5 px,14470.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
797,13548.5 px,14253.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
798,13712.5 px,14437.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
799,16235.5 px,22336.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
800,16278.5 px,22508.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
801,16396.5 px,22362.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
802,16555.5 px,22244.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
803,17074.5 px,22287.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
804,17139.5 px,22412.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
805,16868.5 px,22538.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
806,18598.5 px,21754.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
807,18786.5 px,21644.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
808,18973.5 px,21683.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
809,19001.5 px,21836.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
810,16879.5 px,15627.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
811,17669.5 px,18745.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
812,16872.5 px,19619.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
813,17189.5 px,20114.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
814,17168.5 px,20337.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
815,17121.5 px,20381.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
816,17380.5 px,20457.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
817,17035.5 px,20587.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
818,17132.5 px,22658.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
819,16472.5 px,15801.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
820,16724.5 px,15649.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
821,16570.5 px,15641.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
822,16366.5 px,19514.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
823,16455.5 px,19464.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
824,16510.5 px,19481.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
825,16527.5 px,19565.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
826,16375.5 px,19340.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
827,14767.5 px,8128.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
828,14710.5 px,8816.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
829,14554.5 px,10292.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
830,15116.5 px,15129.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
831,15131.5 px,15684.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
832,14823.5 px,16311.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
833,14671.5 px,18652.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
834,14256.5 px,18626.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
835,14234.5 px,18899.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
836,14391.5 px,19111.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
837,14518.5 px,19440.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
838,14724.5 px,19374.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
839,15022.5 px,20822.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
840,13707.5 px,8833.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
